E,year,t_calc_JD,t_obs_JD,OC_days,OC_err_days,n_nights
-10,2005.4940,2453553.3720,2453551.8278,-1.5442,2.2000,31
-8,2006.7354,2454008.4776,2454004.9242,-3.5534,2.9019,11
-7,2007.3679,2454236.0304,2454235.7975,-0.2329,1.3041,32
-6,2007.9886,2454463.5832,2454462.3493,-1.2339,1.8936,14
-5,2008.6206,2454691.1360,2454693.6522,2.5162,10.8070,10
-4,2009.2421,2454918.6888,2454920.8714,2.1826,0.7960,46
-2,2010.4705,2455373.7944,2455369.2157,-4.5787,1.0475,25
-1,2011.1300,2455601.3472,2455609.9521,8.6049,1.9466,29
1,2012.3531,2456056.4528,2456056.7177,0.2649,1.2839,41
4,2014.2229,2456739.1112,2456739.8603,0.7491,0.7010,48
7,2016.0246,2457421.7696,2457397.4887,-24.2809,9.4680,40
8,2016.7158,2457649.3224,2457650.4677,1.1453,1.5949,55
9,2017.3345,2457876.8752,2457876.5754,-0.2998,1.9117,73
10,2017.9414,2458104.4280,2458098.0958,-6.3322,2.7691,25
11,2018.5950,2458331.9808,2458336.6641,4.6833,5.3054,47
12,2019.1776,2458559.5336,2458549.3223,-10.2113,3.5210,60
13,2019.8309,2458787.0864,2458787.7765,0.6901,3.0530,28
14,2020.4513,2459014.6392,2459014.6850,0.0458,0.7380,77
15,2021.0621,2459242.1920,2459238.1798,-4.0122,1.8662,53
16,2021.6742,2459469.7448,2459461.5955,-8.1493,2.8722,93
17,2022.3039,2459697.2976,2459691.4406,-5.8570,2.3541,90
18,2022.9273,2459924.8504,2459918.9721,-5.8783,1.3426,49
19,2023.5709,2460152.4032,2460153.8611,1.4579,0.5822,99
20,2024.1916,2460379.9560,2460380.6347,0.6787,0.4107,98
21,2024.8198,2460607.5088,2460610.5341,3.0253,1.1557,97
22,2025.4197,2460835.0616,2460829.7062,-5.3554,0.4692,101
23,2026.0557,2461062.6144,2461061.8187,-0.7957,1.1991,95
